time,x,y,z,yaw,totalWeight,centroidCol,centroidRow,yawAngle
740036.0698652084,1.3645,-0.0001,-0.8780,0.0000,2760,80.0,60.5,1.2000
740036.0698652777,1.3656,-0.0001,-0.8780,0.0000,2760,80.0,60.5,1.2000
740036.0698653472,1.3666,-0.0001,-0.8780,0.0000,2760,80.0,60.5,1.2000
740036.0698656135,1.3677,-0.0001,-0.8779,0.0000,2760,80.0,60.5,1.2000
740036.0698656945,1.3687,-0.0001,-0.8779,0.0000,2760,80.0,60.5,1.2000
740036.0698657639,1.3697,-0.0001,-0.8779,0.0000,2760,80.0,60.5,1.2000
740036.0698658564,1.3708,-0.0001,-0.8778,0.0000,2760,80.0,60.5,1.2000
740036.0698664468,1.3718,-0.0001,-0.8778,0.0000,2760,80.0,60.5,1.2000
740036.0698665393,1.3728,-0.0001,-0.8778,0.0000,2760,80.0,60.5,1.2000
740036.0698666204,1.3739,-0.0001,-0.8778,0.0000,2760,80.0,60.5,1.2000
740036.0698667130,1.3749,-0.0001,-0.8777,-0.0000,2760,80.0,60.5,1.2000
740036.0698672569,1.3760,-0.0001,-0.8777,-0.0000,2760,80.0,60.5,1.2000
740036.0698673148,1.3770,-0.0001,-0.8777,-0.0000,2760,80.0,60.5,1.2000
740036.0698674074,1.3780,-0.0001,-0.8777,-0.0000,2760,80.0,60.5,1.2000
740036.0698675000,1.3790,-0.0001,-0.8777,-0.0000,2760,80.0,60.5,1.2000
740036.0698678009,1.3801,-0.0001,-0.8777,-0.0000,2760,80.0,60.5,1.2000
740036.0698679051,1.3811,-0.0001,-0.8777,-0.0000,2760,80.0,60.5,1.2000
740036.0698679861,1.3821,-0.0002,-0.8778,-0.0001,2760,80.0,60.5,1.2000
740036.0698680672,1.3831,-0.0002,-0.8778,-0.0000,2760,80.0,60.5,1.2000
740036.0698683449,1.3841,-0.0002,-0.8778,-0.0000,2760,80.0,60.5,1.2000
740036.0698684260,1.3851,-0.0003,-0.8778,-0.0000,2760,80.0,60.5,1.2000
740036.0698684838,1.3861,-0.0003,-0.8779,-0.0000,2760,80.0,60.5,1.2000
740036.0698685532,1.3871,-0.0003,-0.8779,-0.0000,2760,80.0,60.5,1.2000
740036.0698688658,1.3881,-0.0004,-0.8779,-0.0000,2760,80.0,60.5,1.2000
740036.0698689352,1.3892,-0.0004,-0.8779,-0.0000,2760,80.0,60.5,1.2000
740036.0698690162,1.3902,-0.0004,-0.8779,-0.0000,2760,80.0,60.5,1.2000
740036.0698690740,1.3912,-0.0004,-0.8779,-0.0000,2760,80.0,60.5,1.2000
740036.0698696527,1.3922,-0.0004,-0.8779,-0.0000,2760,80.0,60.5,1.2000
740036.0698697106,1.3932,-0.0004,-0.8779,-0.0000,2760,80.0,60.5,1.2000
740036.0698697916,1.3943,-0.0005,-0.8779,-0.0000,2760,80.0,60.5,1.2000
740036.0698698611,1.3953,-0.0005,-0.8779,-0.0000,2760,80.0,60.5,1.2000
740036.0698701274,1.3963,-0.0005,-0.8779,0.0000,2760,80.0,60.5,1.2000
740036.0698702084,1.3973,-0.0005,-0.8779,0.0000,2760,80.0,60.5,1.2000
